"filename", "language", "Rust", "WGSL", "JSON", "JSON with Comments", "comment", "blank", "total"
"/home/maffi/Dream/web-engine4d/src/actor.rs", "Rust", 197, 0, 0, 0, 0, 32, 229
"/home/maffi/Dream/web-engine4d/src/actor/device.rs", "Rust", 52, 0, 0, 0, 1, 16, 69
"/home/maffi/Dream/web-engine4d/src/actor/device/holegun.rs", "Rust", 113, 0, 0, 0, 6, 27, 146
"/home/maffi/Dream/web-engine4d/src/actor/diamond.rs", "Rust", 0, 0, 0, 0, 62, 13, 75
"/home/maffi/Dream/web-engine4d/src/actor/holegun_hole.rs", "Rust", 186, 0, 0, 0, 5, 44, 235
"/home/maffi/Dream/web-engine4d/src/actor/player.rs", "Rust", 439, 0, 0, 0, 22, 142, 603
"/home/maffi/Dream/web-engine4d/src/actor/player/player_input_master.rs", "Rust", 18, 0, 0, 0, 3, 11, 32
"/home/maffi/Dream/web-engine4d/src/actor/player/player_settings.rs", "Rust", 145, 0, 0, 0, 1, 24, 170
"/home/maffi/Dream/web-engine4d/src/actor/projectiles.rs", "Rust", 0, 0, 0, 0, 35, 10, 45
"/home/maffi/Dream/web-engine4d/src/actor/wandering_actor.rs", "Rust", 131, 0, 0, 0, 5, 38, 174
"/home/maffi/Dream/web-engine4d/src/assets/maps/map.json", "JSON", 0, 0, 688, 0, 0, 16, 704
"/home/maffi/Dream/web-engine4d/src/assets/maps/nikitas_map.json", "JSON", 0, 0, 1298, 0, 0, 23, 1321
"/home/maffi/Dream/web-engine4d/src/assets/maps/settings.json", "JSON with Comments", 0, 0, 0, 12, 0, 5, 17
"/home/maffi/Dream/web-engine4d/src/assets/mod.rs", "Rust", 0, 0, 0, 0, 1, 0, 1
"/home/maffi/Dream/web-engine4d/src/engine.rs", "Rust", 78, 0, 0, 0, 5, 27, 110
"/home/maffi/Dream/web-engine4d/src/engine/effects.rs", "Rust", 3, 0, 0, 0, 0, 0, 3
"/home/maffi/Dream/web-engine4d/src/engine/engine_handle.rs", "Rust", 38, 0, 0, 0, 3, 9, 50
"/home/maffi/Dream/web-engine4d/src/engine/input.rs", "Rust", 360, 0, 0, 0, 8, 44, 412
"/home/maffi/Dream/web-engine4d/src/engine/input/action.rs", "Rust", 23, 0, 0, 0, 0, 4, 27
"/home/maffi/Dream/web-engine4d/src/engine/net.rs", "Rust", 8, 0, 0, 0, 56, 6, 70
"/home/maffi/Dream/web-engine4d/src/engine/physics.rs", "Rust", 134, 0, 0, 0, 19, 60, 213
"/home/maffi/Dream/web-engine4d/src/engine/physics/area.rs", "Rust", 208, 0, 0, 0, 2, 60, 270
"/home/maffi/Dream/web-engine4d/src/engine/physics/colliders_container.rs", "Rust", 12, 0, 0, 0, 1, 3, 16
"/home/maffi/Dream/web-engine4d/src/engine/physics/common_physical_functions.rs", "Rust", 342, 0, 0, 0, 6, 79, 427
"/home/maffi/Dream/web-engine4d/src/engine/physics/dynamic_collider.rs", "Rust", 25, 0, 0, 0, 0, 7, 32
"/home/maffi/Dream/web-engine4d/src/engine/physics/kinematic_collider.rs", "Rust", 354, 0, 0, 0, 39, 199, 592
"/home/maffi/Dream/web-engine4d/src/engine/physics/physics_system_data.rs", "Rust", 214, 0, 0, 0, 4, 62, 280
"/home/maffi/Dream/web-engine4d/src/engine/physics/static_collider.rs", "Rust", 30, 0, 0, 0, 0, 9, 39
"/home/maffi/Dream/web-engine4d/src/engine/render.rs", "Rust", 96, 0, 0, 0, 2, 36, 134
"/home/maffi/Dream/web-engine4d/src/engine/render/render_data.rs", "Rust", 159, 0, 0, 0, 4, 36, 199
"/home/maffi/Dream/web-engine4d/src/engine/render/render_data/dynamic_render_data.rs", "Rust", 486, 0, 0, 0, 16, 165, 667
"/home/maffi/Dream/web-engine4d/src/engine/render/render_data/static_render_data.rs", "Rust", 390, 0, 0, 0, 4, 145, 539
"/home/maffi/Dream/web-engine4d/src/engine/render/renderer.rs", "Rust", 521, 0, 0, 0, 23, 84, 628
"/home/maffi/Dream/web-engine4d/src/engine/render/shaders/shader.wgsl", "WGSL", 0, 563, 0, 0, 60, 191, 814
"/home/maffi/Dream/web-engine4d/src/engine/time.rs", "Rust", 39, 0, 0, 0, 0, 8, 47
"/home/maffi/Dream/web-engine4d/src/engine/world.rs", "Rust", 131, 0, 0, 0, 3, 39, 173
"/home/maffi/Dream/web-engine4d/src/engine/world/level.rs", "Rust", 896, 0, 0, 0, 0, 188, 1084
"/home/maffi/Dream/web-engine4d/src/engine/world/static_object.rs", "Rust", 42, 0, 0, 0, 0, 7, 49
"/home/maffi/Dream/web-engine4d/src/lib.rs", "Rust", 21, 0, 0, 0, 0, 11, 32
"/home/maffi/Dream/web-engine4d/src/main_loop.rs", "Rust", 205, 0, 0, 0, 4, 46, 255
"/home/maffi/Dream/web-engine4d/src/transform.rs", "Rust", 72, 0, 0, 0, 0, 14, 86
"Total", "-", 6168, 563, 1986, 12, 400, 1940, 11069